Old Line,New Line,Score,Type
430,1256,0.8453,Match
431,1257,0.8846,Match
432,469,0.7732,Match
433,1395,0.6764,Match
435,505,0.8447,Match
436,413,0.8066,Match
437,506,0.8625,Match
438,508,0.8498,Match
439,509,0.8514,Match
440,1266,0.8508,Match
441,383,0.6222,Match
442,1197,0.6169,Match
460,301,0.6283,Match
461,340,0.7433,Match
462,341,0.7738,Match
463,306,0.4789,Match
464,759,0.8377,Match
465,939,0.7289,Match
466,379,0.4228,Match
467,97,0.4778,Match
468,1162,0.8667,Match
469,417,0.8527,Match
470,309,0.6674,Match
471,312,0.9640,Match
472,349,0.9679,Match
473,311,0.9352,Match
474,348,0.9352,Match
475,1299,0.8977,Match
477,1319,0.4153,Match
478,956,0.8759,Match
479,375,0.6702,Match
480,958,0.7416,Match
481,962,0.8670,Match
482,936,0.7667,Match
483,937,0.6316,Match
484,938,0.8693,Match
485,963,0.7240,Match
486,964,0.7061,Match
487,490,0.8503,Match
488,492,0.8397,Match
489,494,0.8491,Match
490,418,0.6266,Match
491,493,0.8327,Match
492,495,0.8242,Match
493,295,0.4597,Match
494,597,0.8299,Match
495,85,0.7689,Match
496,1133,0.7748,Match
497,386,0.8790,Match
498,360,0.6540,Match
499,89,0.8825,Match
500,983,0.7106,Match
501,94,0.5358,Match
502,95,0.8397,Match
503,"90,91",0.4883,Split
504,92,0.8557,Match
505,404,0.5325,Match
507,119,0.5946,Match
508,364,0.6051,Match
511,560,0.6751,Match
513,1156,0.9168,Match
514,1157,0.9292,Match
515,1158,0.9306,Match
516,1159,0.8887,Match
517,1160,0.7506,Match
518,1161,0.9608,Match
519,1163,0.9379,Match
520,310,0.9013,Match
521,414,0.8863,Match
522,1164,0.8926,Match
523,519,0.8425,Match
524,87,0.8366,Match
525,88,0.8275,Match
526,114,0.8868,Match
527,296,0.4458,Match
528,384,0.4644,Match
529,299,0.8559,Match
530,116,0.5457,Match
531,1140,0.5084,Match
532,99,0.4760,Match
533,120,0.8303,Match
534,1137,0.4030,Match
535,122,0.8113,Match
536,405,0.5125,Match
537,523,0.8231,Match
538,124,0.5571,Match
539,382,0.5531,Match
540,526,0.8566,Match
541,564,0.7669,Match
542,473,0.6692,Match
544,377,0.6900,Match
545,562,0.6790,Match
546,471,0.8323,Match
547,1181,0.8269,Match
548,456,0.6666,Match
549,1100,0.8623,Match
550,316,0.9123,Match
551,317,0.8794,Match
552,1165,0.8721,Match
553,370,0.8191,Match
554,1166,0.8225,Match
555,1224,0.4135,Match
556,426,0.4262,Match
557,1169,0.4151,Match
558,544,0.4468,Match
559,1223,0.8646,Match
560,1175,0.6425,Match
561,953,0.4813,Match
562,1226,0.8416,Match
563,1172,0.8420,Match
565,"1152,1153",0.5367,Split
566,970,0.4407,Match
567,945,0.8117,Match
568,1150,0.7495,Match
569,501,0.4394,Match
570,1101,0.7735,Match
571,350,0.8324,Match
572,968,0.8000,Match
573,1203,0.5300,Match
574,976,0.5265,Match
579,615,0.7596,Match
580,617,0.7415,Match
581,626,0.7700,Match
582,627,0.8914,Match
583,750,0.6807,Match
584,625,0.5590,Match
585,754,0.6229,Match
586,618,0.6505,Match
587,616,0.6730,Match
588,693,0.6048,Match
589,700,0.8646,Match
590,697,0.7722,Match
591,698,0.8776,Match
592,699,0.8442,Match
593,639,0.8866,Match
594,701,0.8638,Match
595,702,0.9200,Match
596,642,0.6941,Match
597,704,0.6738,Match
598,705,0.7533,Match
599,787,0.9074,Match
600,760,0.5845,Match
601,751,0.6213,Match
602,763,0.6309,Match
603,753,0.7178,Match
604,752,0.7182,Match
605,619,0.5790,Match
606,757,0.5035,Match
607,755,0.5880,Match
608,771,0.8691,Match
609,778,0.6073,Match
610,769,0.6299,Match
611,703,0.5963,Match
612,775,0.6542,Match
613,776,0.5931,Match
614,781,0.8734,Match
615,768,0.5964,Match
616,761,0.6442,Match
617,749,0.8667,Match
618,628,0.5951,Match
619,788,0.5839,Match
620,791,0.5819,Match
621,758,0.5984,Match
622,764,0.5541,Match
623,688,0.8533,Match
624,689,0.5927,Match
625,789,0.7562,Match
626,614,0.6102,Match
627,631,0.6497,Match
628,762,0.5071,Match
629,682,0.4565,Match
630,743,0.5884,Match
631,692,0.4229,Match
632,792,0.5868,Match
633,765,0.7812,Match
634,766,0.7605,Match
635,767,0.8683,Match
636,772,0.6951,Match
637,773,0.7662,Match
638,770,0.8561,Match
639,777,0.8946,Match
640,782,0.7859,Match
641,641,0.7416,Match
642,774,0.6230,Match
643,785,0.7299,Match
644,644,0.6797,Match
645,809,0.8374,Match
646,779,0.6109,Match
647,783,0.8291,Match
648,780,0.8893,Match
649,799,0.8673,Match
650,810,0.7284,Match
651,786,0.7107,Match
652,784,0.7542,Match
653,643,0.6006,Match
654,814,0.6052,Match
655,805,0.8479,Match
656,646,0.5492,Match
657,629,0.7396,Match
658,790,0.5905,Match
659,630,0.4553,Match
660,691,0.4412,Match
661,518,0.4363,Match
662,714,0.5314,Match
663,653,0.4215,Match
664,632,0.5773,Match
665,793,0.7911,Match
666,794,0.7728,Match
667,795,0.8814,Match
668,796,0.9437,Match
669,797,0.9581,Match
670,798,0.8799,Match
671,706,0.8755,Match
672,800,0.9652,Match
673,801,0.9407,Match
674,802,0.7930,Match
675,803,0.7686,Match
676,804,0.8248,Match
677,645,0.8387,Match
678,806,0.9610,Match
679,807,0.9491,Match
680,808,0.8792,Match
681,709,0.8537,Match
682,640,0.7498,Match
683,811,0.9360,Match
684,812,0.7448,Match
685,813,0.7109,Match
686,654,0.5930,Match
687,648,0.8311,Match
688,707,0.4297,Match
689,651,0.4581,Match
690,708,0.4595,Match
691,647,0.7220,Match
692,737,0.8470,Match
693,649,0.7995,Match
694,650,0.7877,Match
695,712,0.7518,Match
696,652,0.7460,Match
697,715,0.6317,Match
698,655,0.7737,Match
699,656,0.8864,Match
700,657,0.8418,Match
705,662,0.8239,Match
707,669,0.8131,Match
710,672,0.8380,Match
712,674,0.7970,Match
715,733,0.7787,Match
717,725,0.7342,Match
718,726,0.7980,Match
719,727,0.8093,Match
769,843,0.9395,Match
770,838,0.8000,Match
771,839,0.8361,Match
772,1215,0.7421,Match
773,1216,0.8783,Match
774,1217,0.8752,Match
775,1218,0.6417,Match
776,1219,0.8577,Match
777,1220,0.7101,Match
778,1277,0.5924,Match
779,1236,0.6528,Match
780,1320,0.8664,Match
781,351,0.8461,Match
782,1241,0.8219,Match
783,840,0.5709,Match
784,347,0.9148,Match
785,830,0.6749,Match
786,353,0.7962,Match
788,1114,0.8801,Match
789,883,0.7789,Match
806,1242,0.5490,Match
807,1091,0.4767,Match
808,1221,0.4598,Match
810,1061,0.7866,Match
811,281,0.5056,Match
812,1147,0.4874,Match
813,1167,0.4955,Match
814,1141,0.7945,Match
815,455,0.6011,Match
816,1145,0.4293,Match
817,1287,0.7740,Match
818,1142,0.4402,Match
822,1357,0.5090,Match
823,511,0.8446,Match
824,477,0.7375,Match
830,1098,0.7408,Match
837,1099,0.6283,Match
838,613,0.8105,Match
840,298,0.4111,Match
841,362,0.8010,Match
842,96,0.4852,Match
843,293,0.4233,Match
845,1136,0.7627,Match
847,1151,0.6727,Match
850,1201,0.4685,Match
851,1097,0.8295,Match
852,584,0.7375,Match
853,1154,0.8465,Match
854,457,0.7905,Match
855,1095,0.7800,Match
856,1204,0.6430,Match
857,373,0.8401,Match
858,394,0.4692,Match
859,478,0.5558,Match
860,965,0.7899,Match
861,1187,0.8977,Match
862,1298,0.8942,Match
863,352,0.8865,Match
864,1318,0.8010,Match
865,369,0.6101,Match
866,1088,0.8910,Match
867,1283,0.8108,Match
868,1284,0.5152,Match
869,1092,0.8013,Match
870,1291,0.7114,Match
871,1093,1.0000,Match
872,1094,1.0000,Match
873,960,0.6597,Match
874,1096,1.0000,Match
875,1292,0.8508,Match
876,393,0.4037,Match
877,1222,0.4242,Match
878,942,0.7927,Match
879,1102,0.9207,Match
880,1419,0.8639,Match
881,1209,0.8828,Match
882,416,0.8744,Match
